,city,complaint_type,location_type
32787,BROOKLYN,Illegal Parking,Street/Sidewalk
32788,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32789,NEW YORK,Dirty Conditions,Sidewalk
32790,BRONX,PLUMBING,RESIDENTIAL BUILDING
32791,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32792,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32793,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
32794,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
32795,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
32796,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32797,BROOKLYN,Illegal Parking,Street/Sidewalk
32798,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
32799,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32800,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
32801,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
32802,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
32803,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
32804,NEW YORK,Missed Collection (All Materials),Sidewalk
32806,BRONX,Maintenance or Facility,Park
32807,BROOKLYN,Blocked Driveway,Street/Sidewalk
32809,NEW YORK,Food Establishment,Restaurant/Bar/Deli/Bakery
32811,Cambria Heights,Sanitation Condition,Street
32812,BROOKLYN,Curb Condition,Curb
32813,BROOKLYN,Dirty Conditions,Sidewalk
32814,NEW YORK,Illegal Parking,Street/Sidewalk
32815,BROOKLYN,SCRIE,Senior Address
32816,BROOKLYN,SCRIE,Senior Address
32818,NEW YORK,EAP Inspection - F59,Street Address
32819,NEW YORK,Illegal Parking,Street/Sidewalk
32821,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32822,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
32823,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
32824,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
32825,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32827,Astoria,Sanitation Condition,Street
32828,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32829,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32830,BRONX,Illegal Parking,Street/Sidewalk
32831,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32832,BROOKLYN,Sanitation Condition,Sidewalk
32835,NEW YORK,GENERAL,RESIDENTIAL BUILDING
32836,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
32837,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32838,Springfield Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
32840,BROOKLYN,Illegal Parking,Street/Sidewalk
32841,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32842,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32843,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
32844,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32846,BROOKLYN,Blocked Driveway,Street/Sidewalk
32847,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32848,East Elmhurst,Missed Collection (All Materials),Sidewalk
32849,NEW YORK,Other Enforcement,Sidewalk
32850,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32851,BRONX,PLUMBING,RESIDENTIAL BUILDING
32852,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32853,BROOKLYN,Dirty Conditions,Sidewalk
32855,JAMAICA,Fire Safety Director - F58,Street Address
32856,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
32857,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
32858,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32859,SAINT ALBANS,Root/Sewer/Sidewalk Condition,Street
32860,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32861,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32862,BROOKLYN,Derelict Vehicle,Street/Sidewalk
32863,Arverne,HEAT/HOT WATER,RESIDENTIAL BUILDING
32864,BRONX,Dirty Conditions,Sidewalk
32865,Jamaica,Sanitation Condition,Sidewalk
32866,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32867,BRONX,Dead Tree,Street
32868,BROOKLYN,Blocked Driveway,Street/Sidewalk
32869,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32870,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32871,JAMAICA,Blocked Driveway,Street/Sidewalk
32872,BROOKLYN,Blocked Driveway,Street/Sidewalk
32874,NEW YORK,GENERAL,RESIDENTIAL BUILDING
32875,FLUSHING,Blocked Driveway,Street/Sidewalk
32877,JACKSON HEIGHTS,Illegal Parking,Street/Sidewalk
32878,Flushing,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32880,BRONX,WATER LEAK,RESIDENTIAL BUILDING
32881,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32882,BRONX,ELECTRIC,RESIDENTIAL BUILDING
32883,BRONX,PLUMBING,RESIDENTIAL BUILDING
32884,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32885,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32886,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32887,NEW YORK,Illegal Parking,Street/Sidewalk
32888,WOODHAVEN,Illegal Parking,Street/Sidewalk
32890,BROOKLYN,Derelict Bicycle,Street
32891,Woodhaven,Missed Collection (All Materials),Sidewalk
32892,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32893,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
32894,BRONX,Sanitation Condition,Street
32895,BROOKLYN,Illegal Parking,Street/Sidewalk
32896,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32897,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32898,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32899,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32901,Springfield Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
32902,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
32903,BROOKLYN,Illegal Parking,Street/Sidewalk
32904,NEW YORK,Sanitation Condition,Street
32907,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
32908,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
32909,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32910,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
32911,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32912,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32913,NEW YORK,Illegal Parking,Street/Sidewalk
32915,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32916,BAYSIDE,Damaged Tree,Street
32918,BRONX,Food Establishment,Restaurant/Bar/Deli/Bakery
32919,BROOKLYN,GENERAL,RESIDENTIAL BUILDING
32920,BROOKLYN,GENERAL,RESIDENTIAL BUILDING
32921,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
32922,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
32923,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32924,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32925,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
32926,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
32927,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
32928,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32929,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32930,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32931,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32932,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
32933,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32935,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32937,BRONX,Derelict Vehicle,Street/Sidewalk
32938,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
32939,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32940,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32941,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
32942,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32943,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
32944,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32946,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
32947,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
32948,BRONX,PLUMBING,RESIDENTIAL BUILDING
32949,BRONX,WATER LEAK,RESIDENTIAL BUILDING
32950,BRONX,PLUMBING,RESIDENTIAL BUILDING
32952,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32953,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32955,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32956,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32957,BROOKLYN,Blocked Driveway,Street/Sidewalk
32958,NEW YORK,GENERAL,RESIDENTIAL BUILDING
32959,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
32960,FAR ROCKAWAY,Blocked Driveway,Street/Sidewalk
32961,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32962,STATEN ISLAND,Illegal Parking,Street/Sidewalk
32963,NEW YORK,Maintenance or Facility,Park
32964,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
32966,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32968,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
32970,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32971,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32972,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32973,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
32974,NEW YORK,Damaged Tree,Street
32976,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32977,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32978,BRONX,GENERAL,RESIDENTIAL BUILDING
32979,BRONX,Dirty Conditions,Sidewalk
32982,BRONX,Blocked Driveway,Street/Sidewalk
32983,BROOKLYN,Blocked Driveway,Street/Sidewalk
32984,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
32985,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32986,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32987,STATEN ISLAND,Blocked Driveway,Street/Sidewalk
32988,BRONX,Blocked Driveway,Street/Sidewalk
32990,BROOKLYN,Illegal Parking,Street/Sidewalk
32991,NEW YORK,Derelict Vehicle,Street/Sidewalk
32992,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32993,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32994,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
32995,BELLEROSE,Blocked Driveway,Street/Sidewalk
32997,Forest Hills,HEAT/HOT WATER,RESIDENTIAL BUILDING
32998,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
32999,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33000,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33001,BROOKLYN,Broken Muni Meter,Street
33003,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33004,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33005,NEW YORK,For Hire Vehicle Complaint,Street
33006,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33007,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33008,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33009,BROOKLYN,Blocked Driveway,Street/Sidewalk
33010,Hollis,HEAT/HOT WATER,RESIDENTIAL BUILDING
33011,BRONX,Illegal Parking,Street/Sidewalk
33014,STATEN ISLAND,Illegal Parking,Street/Sidewalk
33016,Jamaica,Dirty Conditions,Sidewalk
33017,FLUSHING,Blocked Driveway,Street/Sidewalk
33018,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33019,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33020,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33021,BROOKLYN,Maintenance or Facility,Park
33023,Queens Village,Sanitation Condition,Street
33026,Saint Albans,HEAT/HOT WATER,RESIDENTIAL BUILDING
33027,Jamaica,Sanitation Condition,Street
33028,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33029,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33030,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33031,Queens Village,PLUMBING,RESIDENTIAL BUILDING
33032,Jamaica,PAINT/PLASTER,RESIDENTIAL BUILDING
33033,Jamaica,PAINT/PLASTER,RESIDENTIAL BUILDING
33034,Jamaica,DOOR/WINDOW,RESIDENTIAL BUILDING
33035,Jamaica,PAINT/PLASTER,RESIDENTIAL BUILDING
33036,BRONX,Sanitation Condition,Sidewalk
33037,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33038,BROOKLYN,Illegal Parking,Street/Sidewalk
33039,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33042,NEW YORK,Illegal Parking,Street/Sidewalk
33043,OAKLAND GARDENS,SCRIE,Senior Address
33044,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33045,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33046,ELMHURST,Derelict Vehicle,Street/Sidewalk
33047,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33048,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33049,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33050,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33051,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33052,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33053,BROOKLYN,Derelict Vehicle,Street/Sidewalk
33054,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
33055,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33057,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
33058,BROOKLYN,Maintenance or Facility,Park
33059,BROOKLYN,Root/Sewer/Sidewalk Condition,Street
33060,BROOKLYN,Blocked Driveway,Street/Sidewalk
33061,Ozone Park,Derelict Vehicles,Street
33062,BROOKLYN,Street Condition,Street
33063,NEW YORK,Illegal Parking,Street/Sidewalk
33065,BRONX,Derelict Vehicles,Street
33066,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33068,BROOKLYN,Maintenance or Facility,Park
33069,STATEN ISLAND,Sanitation Condition,Sidewalk
33071,Forest Hills,HEAT/HOT WATER,RESIDENTIAL BUILDING
33072,SUNNYSIDE,Derelict Vehicle,Street/Sidewalk
33073,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33074,Woodside,HEAT/HOT WATER,RESIDENTIAL BUILDING
33075,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33076,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33077,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33078,Far Rockaway,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33079,Far Rockaway,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33080,BROOKLYN,Illegal Parking,Street/Sidewalk
33081,SOUTH OZONE PARK,Blocked Driveway,Street/Sidewalk
33082,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33083,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33084,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33085,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33086,Springfield Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
33087,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
33088,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
33089,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
33090,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33091,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33092,Whitestone,Sanitation Condition,Street
33093,South Richmond Hill,Sanitation Condition,Street
33094,NEW YORK,Noise - Commercial,Store/Commercial
33095,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33096,BROOKLYN,Blocked Driveway,Street/Sidewalk
33097,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33098,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33099,BRONX,WATER LEAK,RESIDENTIAL BUILDING
33100,BRONX,WATER LEAK,RESIDENTIAL BUILDING
33101,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33102,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
33103,BRONX,WATER LEAK,RESIDENTIAL BUILDING
33104,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33105,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
33107,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
33108,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
33109,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
33110,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33111,BROOKLYN,Sanitation Condition,Street
33112,BROOKLYN,Sanitation Condition,Street
33113,STATEN ISLAND,Sanitation Condition,Street
33114,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33115,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
33116,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33117,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33118,STATEN ISLAND,DOOR/WINDOW,RESIDENTIAL BUILDING
33119,STATEN ISLAND,DOOR/WINDOW,RESIDENTIAL BUILDING
33120,STATEN ISLAND,GENERAL,RESIDENTIAL BUILDING
33121,STATEN ISLAND,APPLIANCE,RESIDENTIAL BUILDING
33122,STATEN ISLAND,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33123,BRONX,Illegal Parking,Street/Sidewalk
33124,Kew Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
33125,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33127,STATEN ISLAND,Missed Collection (All Materials),Sidewalk
33128,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
33131,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33132,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
33133,BRONX,PLUMBING,RESIDENTIAL BUILDING
33134,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
33135,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
33136,BROOKLYN,Maintenance or Facility,Park
33137,Ozone Park,Derelict Vehicles,Street
33141,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
33146,BROOKLYN,Missed Collection (All Materials),Sidewalk
33147,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33148,BROOKLYN,Blocked Driveway,Street/Sidewalk
33149,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33150,BROOKLYN,Homeless Encampment,Street/Sidewalk
33153,ASTORIA,Illegal Parking,Street/Sidewalk
33154,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33155,NEW YORK,Traffic,Street/Sidewalk
33156,BRONX,Street Condition,Street
33157,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33158,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33159,ASTORIA,Broken Muni Meter,Lot
33160,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33161,BROOKLYN,Noise - Vehicle,Street/Sidewalk
33162,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33163,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33164,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33165,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33166,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
33167,BROOKLYN,APPLIANCE,RESIDENTIAL BUILDING
33168,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33169,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33170,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33171,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33173,BRONX,Missed Collection (All Materials),Sidewalk
33174,QUEENS VILLAGE,Bike Rack Condition,Sidewalk
33176,BRONX,Illegal Parking,Street/Sidewalk
33177,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33178,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33179,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33180,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33183,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33184,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33185,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33186,Ozone Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
33187,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33188,Sunnyside,HEAT/HOT WATER,RESIDENTIAL BUILDING
33189,BROOKLYN,Illegal Parking,Street/Sidewalk
33190,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
33191,BROOKLYN,Illegal Parking,Street/Sidewalk
33192,NEW YORK,Public Payphone Complaint,Street and Sidewalk
33193,BROOKLYN,Illegal Parking,Street/Sidewalk
33194,NEW YORK,Illegal Parking,Street/Sidewalk
33195,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33196,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33197,BROOKLYN,Illegal Parking,Street/Sidewalk
33198,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33199,SOUTH OZONE PARK,Blocked Driveway,Street/Sidewalk
33200,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33201,Ridgewood,Dirty Conditions,Sidewalk
33202,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33203,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33204,Corona,HEAT/HOT WATER,RESIDENTIAL BUILDING
33205,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33206,Maspeth,HEAT/HOT WATER,RESIDENTIAL BUILDING
33207,Springfield Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
33208,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33209,Richmond Hill,HEAT/HOT WATER,RESIDENTIAL BUILDING
33210,NEW YORK,Homeless Encampment,Street/Sidewalk
33211,Hollis,HEAT/HOT WATER,RESIDENTIAL BUILDING
33212,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33215,BRONX,Street Sign - Missing,Street
33216,BROOKLYN,Blocked Driveway,Street/Sidewalk
33217,Corona,Sanitation Condition,Street
33219,BROOKLYN,Sanitation Condition,Street
33220,ASTORIA,Broken Muni Meter,Lot
33221,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33222,Flushing,Dirty Conditions,Sidewalk
33223,NEW YORK,Sanitation Condition,Street
33224,Ridgewood,Dirty Conditions,Sidewalk
33225,BROOKLYN,Noise - Vehicle,Street/Sidewalk
33226,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33227,Woodside,HEAT/HOT WATER,RESIDENTIAL BUILDING
33229,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33230,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33231,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33232,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33233,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33235,RICHMOND HILL,Derelict Vehicle,Street/Sidewalk
33237,BROOKLYN,Blocked Driveway,Street/Sidewalk
33238,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33239,ASTORIA,Broken Muni Meter,Lot
33240,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33241,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33242,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33244,BROOKLYN,Sanitation Condition,Street
33245,LONG ISLAND CITY,Animal Abuse,Residential Building/House
33247,Richmond Hill,HEAT/HOT WATER,RESIDENTIAL BUILDING
33248,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33249,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33250,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33251,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33252,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33253,BRONX,Blocked Driveway,Street/Sidewalk
33255,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33256,NEW YORK,Fire Safety Director - F58,Street Address
33257,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33258,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33259,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
33260,NEW YORK,Illegal Parking,Street/Sidewalk
33261,FAR ROCKAWAY,Animal in a Park,Park
33262,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
33263,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33264,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
33265,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
33266,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
33267,NEW YORK,Illegal Parking,Street/Sidewalk
33268,BROOKLYN,Blocked Driveway,Street/Sidewalk
33269,Hollis,Sanitation Condition,Sidewalk
33271,BRONX,Illegal Parking,Street/Sidewalk
33272,BRONX,Sanitation Condition,Street
33273,Hollis,Sanitation Condition,Sidewalk
33274,BRONX,Illegal Parking,Street/Sidewalk
33275,BRONX,Illegal Parking,Street/Sidewalk
33276,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33278,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33279,BRONX,WATER LEAK,RESIDENTIAL BUILDING
33280,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
33281,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
33282,BRONX,WATER LEAK,RESIDENTIAL BUILDING
33283,CORONA,Blocked Driveway,Street/Sidewalk
33284,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
33285,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
33286,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
