,city,complaint_type,location_type
42696,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42698,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42699,BROOKLYN,Illegal Parking,Street/Sidewalk
42700,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42702,BROOKLYN,Non-Residential Heat,Building (Non-Residential)
42703,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42704,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42705,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
42706,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
42708,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42709,WOODHAVEN,Blocked Driveway,Street/Sidewalk
42711,MASPETH,Illegal Parking,Street/Sidewalk
42712,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42714,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
42716,Hollis,HEAT/HOT WATER,RESIDENTIAL BUILDING
42717,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42718,QUEENS VILLAGE,Illegal Parking,Street/Sidewalk
42719,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42720,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
42721,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42722,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42723,ASTORIA,Blocked Driveway,Street/Sidewalk
42725,Forest Hills,HEAT/HOT WATER,RESIDENTIAL BUILDING
42728,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42729,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42730,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42731,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42732,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42734,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42736,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42737,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42738,BROOKLYN,Blocked Driveway,Street/Sidewalk
42739,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42740,NEW YORK,Graffiti,Comercial
42741,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42742,NEW YORK,Graffiti,Comercial
42743,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42744,NEW YORK,Graffiti,Residential
42745,NEW YORK,Graffiti,Residential
42747,BROOKLYN,Illegal Parking,Street/Sidewalk
42748,NEW YORK,Noise - Vehicle,Street/Sidewalk
42749,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42750,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42751,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42752,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42754,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
42755,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42756,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42757,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42758,CORONA,Noise - Commercial,Club/Bar/Restaurant
42760,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42761,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42762,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42763,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42764,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
42765,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
42766,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
42768,WOODHAVEN,Blocked Driveway,Street/Sidewalk
42771,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42772,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
42773,BROOKLYN,Illegal Parking,Street/Sidewalk
42774,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42775,JAMAICA,Construction,Street Address
42777,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42780,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42781,BRONX,Blocked Driveway,Street/Sidewalk
42782,BROOKLYN,Noise - Vehicle,Street/Sidewalk
42783,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42784,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42786,MASPETH,Illegal Parking,Street/Sidewalk
42788,BRONX,Illegal Parking,Street/Sidewalk
42789,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42790,Ozone Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
42791,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42794,STATEN ISLAND,PLUMBING,RESIDENTIAL BUILDING
42795,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
42796,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42797,BROOKLYN,Street Condition,Street
42798,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42799,BRONX,Illegal Parking,Street/Sidewalk
42800,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
42801,NEW YORK,Noise - Commercial,Store/Commercial
42802,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42803,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42804,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
42805,BRONX,Noise - Commercial,Club/Bar/Restaurant
42806,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42807,East Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
42808,COLLEGE POINT,Blocked Driveway,Street/Sidewalk
42809,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
42811,BROOKLYN,Noise - Commercial,Store/Commercial
42812,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42813,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
42814,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
42815,BRONX,WATER LEAK,RESIDENTIAL BUILDING
42816,BRONX,PLUMBING,RESIDENTIAL BUILDING
42817,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
