School Name,Street Address,City,Coordinates
Celia Cruz Bronx High School of Music ,2780 Reservoir Avenue,Bronx,"(40.8705477, -73.8972153)"
Bronx High School of Science,75 West 205 Street,Bronx,"(40.87766209999999, -73.89105529999999)"
Marble Hill High School for International Studies,99 Terrace View Avenue,Bronx,"(40.8771416, -73.91268389999999)"
Crotona International High School,2474 Crotona Avenue,Bronx,"(40.8553275, -73.88241090000001)"
Bronx atre High School,99 Terrace View Avenue,Bronx,"(40.8771416, -73.91268389999999)"
Discovery High School,2780 Reservoir Avenue,Bronx,"(40.8705477, -73.8972153)"
High School for Energy and Technology,2474 Crotona Avenue,Bronx,"(40.8553275, -73.88241090000001)"
High School of American Studies at Lehman College,2925 Goulden Avenue,Bronx,"(40.8748282, -73.8952168)"
Bronx Health Sciences High School,750 Baychester Avenue,Bronx,"(40.8740855, -73.8320957)"
Bronx High School for Writing and Communication Arts,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Bronx Lab School,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Academy for Scholarship and Entrepreneurship: A College Board School,921 East 228Th Street,Bronx,"(40.8879098, -73.8524877)"
High School of Computers and Technology,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Collegiate Institute for Math and Science,925 Astor Avenue,Bronx,"(40.8603116, -73.8602433)"
Bronx Academy of Health Careers,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Astor Collegiate Academy,925 Astor Avenue,Bronx,"(40.8603116, -73.8602433)"
Bronx High School for  Visual Arts,2040 Antin Pl,Bronx,"(40.8517465, -73.8645056)"
Harry S Truman High School,750 Baychester Avenue,Bronx,"(40.8740855, -73.8320957)"
Bronxdale High School,925 Astor Avenue,Bronx,"(40.8603116, -73.8602433)"
High School of Language and Innovation,925 Astor Avenue,Bronx,"(40.8603116, -73.8602433)"
New World High School,921 East 228Th Street,Bronx,"(40.8879098, -73.8524877)"
 Bronxwood Preparatory Academy,921 East 228Th Street,Bronx,"(40.8879098, -73.8524877)"
Pelham Preparatory Academy,925 Astor Avenue,Bronx,"(40.8603116, -73.8602433)"
High School for Contemporary Arts,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Bronx Aerospace High School,800 East Gun Hill Road,Bronx,"(40.8751075, -73.86165249999999)"
Mott Hall V,1551 East 172Nd Street,Bronx,"(40.8316935, -73.8774638)"
Metropolitan High School ,1180 Rev. J.A. Polite Ave.,Bronx,"(40.82771899999999, -73.8970008)"
Explorations Academy,1619 Boston Road,Bronx,"(40.8358091, -73.8911153)"
Bronx Latin,800 Home Street,Bronx,"(40.8271204, -73.9008891)"
East Bronx Academy for  Future,1716 Southern Boulevard,Bronx,"(40.8368876, -73.8876377)"
Peace and Diversity Academy,1180 Rev. J.A. Polite Ave.,Bronx,"(40.82771899999999, -73.8970008)"
Urban Assembly School for Wildlife Conservation,2024 Mohegan Avenue,Bronx,"(40.8439832, -73.88448509999999)"
Pan American International High School at Monroe,1300 Boynton Avenue,Bronx,"(40.83212779999999, -73.87772149999999)"
THE CINEMA SCHOOL,1551 East 172Nd Street,Bronx,"(40.8316935, -73.8774638)"
Bronx Career and College Preparatory High School,800 Home Street,Bronx,"(40.8271204, -73.9008891)"
Bronx Envision Academy,1619 Boston Road,Bronx,"(40.8358091, -73.8911153)"
 Metropolitan Soundview High School,1300 Boynton Avenue,Bronx,"(40.83212779999999, -73.87772149999999)"
High School of World Cultures,1300 Boynton Avenue,Bronx,"(40.83212779999999, -73.87772149999999)"
