UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
132851002,College of Central Florida,Appleton Museum of Art,FL,"Public, 4-year or above",3158,5291,8449,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132851003,College of Central Florida,Hampton Center,FL,"Public, 4-year or above",3158,5291,8449,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
132851004,College of Central Florida,Citrus Campus,FL,"Public, 4-year or above",3158,5291,8449,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132851005,College of Central Florida,Levy Center,FL,"Public, 4-year or above",3158,5291,8449,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132879001,Florida Christian College,Main Campus,FL,"Private nonprofit, 4-year or above",192,182,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903001,University of Central Florida,Main Campus,FL,"Public, 4-year or above",26781,32820,59601,0,0,4,0,0,6,36,24,0,0,0,6,0,6,11,27,20,0,0,0,11,0,3,20,25,11,1,1,1,1
132903003,University of Central Florida,Executive Development Center,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903004,University of Central Florida,UCF Ocala,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903005,University of Central Florida,UCF Palm Bay,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903006,University of Central Florida,UCF South Lake,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903007,University of Central Florida,UCF Cocoa,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903008,University of Central Florida,UCF Daytona Beach,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,2,1,0,7,0,0,0,0,0,1,1,2,9,0,0,0,1,0,1,0,0,3,0,1,1,1
132903009,University of Central Florida,Rosen College of Hospitality Management,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903010,University of Central Florida,UCF Valencia West,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,1,1,1,1
132903011,University of Central Florida,College of Medicine,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903012,University of Central Florida,UCF Center for Emerging Media,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
